,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Bodegas,Número de piso de la unidad,Departamentos por piso
0,Metro El Golf,Departamento,Publicado hace 35 días,2021-07-01,"San Sebastian 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",400.000,,"0,27 UF/m²",,50 m²,50 m²,1,2,90000 CLP,,,,,
1,A 2 Cuadras Del Metro Alcantara-sector El Golf,Departamento,Publicado hace 35 días,2021-07-01,"Avenida El Golf 201, Barrio El Golf, Las Condes, RM (Metropolitana)",700.000,,"0,34 UF/m²","0,32 UF/m²",70 m²,70 m²,1,1,150000 CLP,1,,,,
2,Arriendo Depto  Calle Tranquila ,Departamento,Publicado hace 35 días,2021-07-01,"Alicante / Martin De Zamora 1 - 300, Vaticano, Las Condes, RM (Metropolitana)",710.000,,"0,21 UF/m²","0,27 UF/m²",113 m²,105 m²,3,2,,1,,,,
3,"Departamento En Excelente Estado, Sector Villa Maria",Departamento,Publicado hace 35 días,2021-07-01,"Presidente Errázuriz 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,18 UF/m²",,160 m²,160 m²,2,2,400000 CLP,1,38 años,,,
4,Acogedor Departamento Martin Alonzo Pinzon /colon,Departamento,Publicado hace 34 días,2021-07-01,"Martín Alonso Pinzón 6900 - 7200, Rotonda Atenas, Las Condes, RM (Metropolitana)",12,359.525,"0,43 UF/m²","0,37 UF/m²",28 m²,28 m²,1,1,,1,,,,
5,Impecable Departamento En Las Torcazas ,Departamento,Publicado hace 34 días,2021-07-01,"Las Torcazas 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",960.000,,"0,33 UF/m²",,98 m²,88 m²,3,12,,1,,,,
6,Arriendo / Depto / 380 M2 / 3d 4b 2e 1b / Las Condes,Departamento,Publicado hace 34 días,2021-07-01,"Avenida Los Tuliperos Sur 13200 - 13500, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",95,2.822.716,"0,25 UF/m²","0,24 UF/m²",380 m²,300 m²,4,4,1200000 CLP,2,,,,
7,"Amoblado - Bonito Dp. 2 Dorm, 1 Baño, Estacionamiento",Departamento,Publicado hace 34 días,2021-07-01,"Hamlet 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",550.000,,"0,31 UF/m²",,60 m²,60 m²,2,1,,1,,,,
8,Excelente Departamento.,Departamento,Publicado hace 34 días,2021-07-01,"Los Militares 5700 - 6000, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",850.000,,"0,48 UF/m²","0,38 UF/m²",60 m²,50 m²,2,2,130000 CLP,1,,,,
9,A 2 Cuadras Del Metro Alcantara-sector El Golf,Departamento,Publicado hace 34 días,2021-07-01,"Avenida El Golf 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",650.000,,"0,31 UF/m²","0,32 UF/m²",70 m²,70 m²,1,1,150000 CLP,1,,,,
