,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Antigüedad,Bodegas,Orientación
0,Moderno- Metro Ines De Suarez - Mariategui- Full Amoblad...,Departamento,Publicado hace 3 meses,2021-07-01,"Moderno- Metro Ines De Suarez - Mariategui- Full Amoblado Y Equipado, Campus Oriente, Providencia, RM (Metropolitana)",1.000.000,,"0,25 UF/m²","0,24 UF/m²",132 m²,120 m²,3,2,1,,,,,,,
1,Full Moderno / Remodelado Amoblado / A Pasos Del Metro P...,Departamento,Publicado hace 3 meses,2021-07-01,"Full Moderno / Remodelado Amoblado / A Pasos Del Metro Pedro De Valdivia Y Los Leones / Gastos Comunes Incluidos!, Pedro de Valdivia, Providencia, RM (Metropolitana)",500.000,,"0,37 UF/m²","0,34 UF/m²",45 m²,45 m²,1,1,,,,,,,,
2,"Cómodo, Full Amoblado Ricardo Lyon",Departamento,Publicado hace 3 meses,2021-07-01,"Cómodo, Full Amoblado Ricardo Lyon, Los Leones, Providencia, RM (Metropolitana)",550.000,,"0,34 UF/m²","0,34 UF/m²",55 m²,45 m²,1,1,,,,,,,,
3,Pocuro! Club Providencia,Departamento,Publicado hace 3 meses,2021-07-01,"Pocuro! Club Providencia, Metro Bilbao, Providencia, RM (Metropolitana)",850.000,,"0,3 UF/m²","0,28 UF/m²",94 m²,77 m²,2,2,,,,,,,,
4,Vista Privilegiada / Cercano A Metro Cristóbal Colon,Departamento,Publicado hace 3 días,2021-07-01,"El Bosque Sur 600 - 900, Las Lilas, Providencia, RM (Metropolitana)",700.000,,"0,27 UF/m²","0,28 UF/m²",86 m²,72 m²,2,2,1,120000 CLP,,,,,,
5,Vista Privilegiada / Cercano A Metro Cristóbal Colon,Departamento,Publicado hace 3 días,2021-07-01,"El Bosque Sur 600 - 900, Las Lilas, Providencia, RM (Metropolitana)",700.000,,"0,27 UF/m²","0,28 UF/m²",86 m²,72 m²,2,2,1,120000 CLP,,,,,,
6,Vista Privilegiada / Cercano A Metro Cristóbal Colon,Departamento,Publicado hace 3 días,2021-07-01,"El Bosque Sur 600 - 900, Las Lilas, Providencia, RM (Metropolitana)",700.000,,"0,27 UF/m²","0,28 UF/m²",86 m²,72 m²,2,2,1,120000 CLP,,,,,,
7,"Calle Huelén, Metro Salvador",Departamento,Publicado hace 3 meses,2021-07-01,"Calle Huelén, Metro Salvador, Salvador, Providencia, RM (Metropolitana)",670.000,,"0,38 UF/m²","0,29 UF/m²",60 m²,60 m²,2,1,,75000 CLP,,,,,,
8,Carlos Antunez 1960,Departamento,Publicado hace 3 meses,2021-07-01,"Carlos Antunez 1960, Manuel Montt, Providencia, RM (Metropolitana)",480.000,,"0,28 UF/m²","0,34 UF/m²",57 m²,49 m²,1,1,1,,,,,,,
9,"Oportuno Fco Bilbao, Lyon, Plaza La Alcaldesa",Departamento,Publicado hace 2 meses,2021-07-01,"Oportuno Fco Bilbao, Lyon, Plaza La Alcaldesa, Providencia, RM (Metropolitana)",750.000,,"0,14 UF/m²",,175 m²,155 m²,3,2,1,135000 CLP,,,,,,
10,Vista Despejada Oriente Luminoso Y Confortable 2d 2b,Departamento,Publicado hace 9 días,2021-07-01,"Peumo 900 - 1200, Los Leones, Providencia, RM (Metropolitana)",750.000,,"0,3 UF/m²","0,28 UF/m²",85.1 m²,75 m²,2,2,1,220000 CLP,,,,,,
