,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Ambientes,Bodegas,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Orientación
0,"Metro Moneda. Impecable, Luminoso, Vista Despejada",Departamento,Publicado hace 30 días,2021-07-02,"Nataniel Cox 223 - Departamento 2100 - 2400, Bulnes, Santiago, RM (Metropolitana)",290.000,,"0,29 UF/m²","0,72 UF/m²",34 m²,32 m²,1,1,35000 CLP,,,,,,,,
1,Paseo Estado 115 Con Moneda,Departamento,Publicado hace 30 días,2021-07-02,"Estado 115, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",350.000,,"0,26 UF/m²","0,26 UF/m²",45 m²,45 m²,2,1,55000 CLP,,,,,,,,
2,"Clasico Y Luminoso Departamento, Amplios Espacios,",Departamento,Publicado hace 30 días,2021-07-02,"José Miguel De La Barra 521, Barrio Lastarria, Santiago, RM (Metropolitana)",1.300.000,,"0,27 UF/m²",,160 m²,160 m²,3,2,,2,,,,,,,
3,"Departamento, Cercano Metro Santa Isabel",Departamento,Publicado hace 30 días,2021-07-02,"Santa Isabel 1 - 300, Santa Isabel, Santiago, RM (Metropolitana)",370.000,,"0,25 UF/m²","0,26 UF/m²",50 m²,50 m²,2,2,60000 CLP,,,,,,,,
4,Comodo Dpto Ubicado A 3cuadras Metro Santa Lucia 1d/1b,Departamento,Publicado hace 30 días,2021-07-02,"San Isidro 1 - 300, Santa Isabel, Santiago, RM (Metropolitana)",298.000,,"0,33 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,48000 CLP,,,,,,,,
5,Comodo Dpto Ubicado A 3cuadras Metro Santa Lucia 1d/1b,Departamento,Publicado hace 30 días,2021-07-02,"San Isidro 1 - 300, Santa Isabel, Santiago, RM (Metropolitana)",298.000,,"0,33 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,48000 CLP,,,,,,,,
6,Serrano - Tarapaca,Departamento,Publicado hace 29 días,2021-07-02,"Serrano - Tarapaca, Bulnes, Santiago, RM (Metropolitana)",300.000,,"0,36 UF/m²","0,72 UF/m²",28 m²,28 m²,1,1,,,,,,,,,
7,Cercano Metro Cal Y Canto Y Metro Santa Ana / Mapocho,Departamento,Publicado hace 29 días,2021-07-02,"Mapocho 1500 - 1800, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",200.000,,"0,32 UF/m²","0,72 UF/m²",21 m²,21 m²,1,1,,,,,,,,,
8,Cercano Al Metro Moneda,Departamento,Publicado hace 29 días,2021-07-02,"Lord Cochrane 277, Franklin - Biobío, Santiago, RM (Metropolitana)",330.000,,"0,21 UF/m²","0,26 UF/m²",52 m²,48 m²,2,2,,,,,,,,,
9,Cercano Al Metro Moneda,Departamento,Publicado hace 29 días,2021-07-02,"Lord Cochrane 277, Franklin - Biobío, Santiago, RM (Metropolitana)",330.000,,"0,21 UF/m²","0,26 UF/m²",52 m²,48 m²,2,2,,,,,,,,,
