,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Cantidad de pisos,Ambientes,Bodegas,Orientación
0,Barrio Villaseca 1 - 300,Casa,Publicado hace 1 año,2021-07-01,"Barrio Villaseca 1 - 300, Villaseca, Buin, RM (Metropolitana)",420.000,,"0,13 UF/m²",,114 m²,60 m²,3,2,2,,,,,,
1,Arriendo Casa Georgiana,Casa,Publicado hace 3 días,2021-07-01,"El Tanguito 1, El Copihue, Calera De Tango, RM (Metropolitana)",1.700.000,,"0,04 UF/m²",,1300 m²,500 m²,5,5,2,,,,,,
2,Piedra Roja / Chicureo (las Bandadas),Casa,Publicado hace 1 año,2021-07-01,"Piedra Roja / Chicureo (las Bandadas), Chicureo, Colina, RM (Metropolitana)",2.700.000,,"0,12 UF/m²","0,08 UF/m²",750 m²,240 m²,4,4,,,,,,,
3,"Increible Casa, Las Brisas De Chicureo, Gran Terreno!!!!",Casa,Publicado hace 9 meses,2021-07-01,"Increible Casa, Las Brisas De Chicureo, Gran Terreno!!!!, Chicureo, Colina, RM (Metropolitana)",55,1.634.204,"0,02 UF/m²",,2800 m²,280 m²,6,4,,,,,,,
4,Chicureo Oriente - Avenida Del Valle,Casa,Publicado hace 1 año,2021-07-01,"Chicureo Oriente - Avenida Del Valle, Chicureo, Colina, RM (Metropolitana)",5.475.300,,"0,12 UF/m²",,1600 m²,250 m²,3,3,,,,,,,
5,Chicureo Oriente,Casa,Publicado hace 1 año,2021-07-01,"Chicureo Oriente, Chicureo, Colina, RM (Metropolitana)",1.860.000,,"0,01 UF/m²",,5000 m²,255 m²,8,6,,,,,,,
6,Condominio Hacienda Chacabuco 00,Casa,Publicado hace 1 año,2021-07-01,"Condominio Hacienda Chacabuco 00, Casas de Chacabuco, Colina, RM (Metropolitana)",45,1.337.076,"0,01 UF/m²",,9000 m²,200 m²,2,2,,65000 CLP,,,,,
7,"Casa Para Uso Comercial O Profesional, Cercano Cruce Lo ...",Casa,Publicado hace 4 meses,2021-07-01,"Casa Para Uso Comercial O Profesional, Cercano Cruce Lo Pinto, Chicureo, Colina, RM (Metropolitana)",900.000,,"0,34 UF/m²",,90 m²,85 m²,3,2,2,,,,,,
8,Autopista Los Libertadores 30,Casa,Publicado hace 4 meses,2021-07-01,"Autopista Los Libertadores 30, Colina, RM (Metropolitana)",95,2.822.716,"0,02 UF/m²","0,03 UF/m²",5000 m²,424 m²,5,4,6,65000 CLP,,,,,
9,Se Arrienda Por 1 Año Casa Amoblada Chicureo. Disponible...,Casa,Publicado hace 3 meses,2021-07-01,"Se Arrienda Por 1 Año Casa Amoblada Chicureo. Disponible A Partir De Júlio 1800 - 2100, Centro de Colina, Colina, RM (Metropolitana)",3.500.000,,"0,02 UF/m²","0,03 UF/m²",5000 m²,367 m²,5,5,9,,,,,,
10,Chicureo Oriente,Casa,Publicado hace 3 meses,2021-07-01,"Chicureo Oriente, Chicureo, Colina, RM (Metropolitana)",3.500.000,,"0,02 UF/m²","0,03 UF/m²",5000 m²,367 m²,4,4,6,,,,,,
11,Hermosa Casa Patronal Vive En El Campo Y Disfruta En Fam...,Casa,Publicado hace 2 meses,2021-07-01,"Hermosa Casa Patronal Vive En El Campo Y Disfruta En Familia! - Sector Liray, Chicureo, Colina, RM (Metropolitana)",1.600.000,,"0,01 UF/m²","0,03 UF/m²",5000 m²,370 m²,4,5,6,,,,,,
12,Casa Amoblada Con Piscina En Parcela,Casa,Publicado hace 2 meses,2021-07-01,"Casa Amoblada Con Piscina En Parcela, Chicureo, Colina, RM (Metropolitana)",3.000.000,,"0,02 UF/m²",,5000 m²,300 m²,4,3,,,,,,,
13,Condominio La Hacienda De Chicureo,Casa,Publicado hace 57 días,2021-07-01,"Paseo Colina Sur 13800 - 14100, Chicureo, Colina, RM (Metropolitana)",86,2.555.301,"0,09 UF/m²","0,1 UF/m²",1000 m²,324 m²,6,5,3,200000 CLP,,,,,
14,"Arriendo 1 Junio, Gran Casa En Condominio La Hacienda ",Casa,Publicado hace 57 días,2021-07-01,"Condominio La Hacienda 1 - 300, Chicureo, Colina, RM (Metropolitana)",2.500.000,,"0,09 UF/m²","0,1 UF/m²",1000 m²,323 m²,5,4,,,,,,,
15,Maravillosa Parcela En Condominio Las Campiñas,Casa,Publicado hace 57 días,2021-07-01,"Lo Arcaya S / N, Chicureo, Colina, RM (Metropolitana)",3.000.000,,"0,02 UF/m²","0,03 UF/m²",5000 m²,560 m²,6,5,6,,,,,,
16,"Acogedora Cabaña, Ambiente Rustico.",Casa,Publicado hace 57 días,2021-07-01,"Acogedora Cabaña, Ambiente Rustico., Chicureo, Colina, RM (Metropolitana)",1.600.000,,"0,01 UF/m²",,5000 m²,180 m²,3,2,,,,,,,
17,Los Bosques/ Increíble,Casa,Publicado hace 52 días,2021-07-01,"Los Avellanos 2100, Chicureo, Colina, RM (Metropolitana)",118,3.506.110,"0,12 UF/m²","0,1 UF/m²",1000 m²,311 m²,5,4,3,,,,,,
18,"Amoblado, Condominio En Piedra Roja, Como Nueva.",Casa,Publicado hace 44 días,2021-07-01,"Avenida Los Ríos 11100 - 11400, Chicureo, Colina, RM (Metropolitana)",2.400.000,,"0,11 UF/m²","0,08 UF/m²",750 m²,285 m²,5,4,,165000 CLP,,,,,
19,Casas De Hacienda/disponibilidad Inmediata,Casa,Publicado hace 43 días,2021-07-01,"Paseo Colina Sur 11700 - 12000, Chicureo, Colina, RM (Metropolitana)",2.500.000,,"0,09 UF/m²","0,1 UF/m²",1000 m²,320 m²,5,5,3,240000 CLP,,,,,
20,Moderna Casa De Arquitecto José Riesco E,Casa,Publicado hace 36 días,2021-07-01,"Moderna Casa De Arquitecto José Riesco E, Chicureo, Colina, RM (Metropolitana)",3.400.000,,"0,12 UF/m²","0,1 UF/m²",1000 m²,311 m²,5,5,,,,,,,
21,Excelente Casa En Arriendo ,Casa,Publicado hace 33 días,2021-07-01,"Casas De Hacienda, El Pedregal 1 - 300, Centro de Colina, Colina, RM (Metropolitana)",2.500.000,,"0,09 UF/m²","0,1 UF/m²",926 m²,323 m²,4,4,2,220000 CLP,,,,,
22,"Casa En Arriendo 5 Hab Mas Escritorio, Piscina Y Quincho",Casa,Publicado hace 31 días,2021-07-01,"Bosques 1 - 300, Chicureo, Colina, RM (Metropolitana)",2.500.000,,"0,09 UF/m²","0,08 UF/m²",1000 m²,300 m²,5,5,5,140000 CLP,,,,,
23,Luminosa Casa,Casa,Publicado hace 31 días,2021-07-01,"Paseo Colina Sur 1 - 300, Chicureo, Colina, RM (Metropolitana)",2.500.000,,"0,09 UF/m²","0,1 UF/m²",1000 m²,323 m²,6,4,4,,,,,,
24,"Arriendo En Condominio Casas De Hacienda, Laguna Piedra Roja",Casa,Publicado hace 28 días,2021-07-01,"Paseo Colina Sur 13800 - 14100, Chicureo, Colina, RM (Metropolitana)",90,2.674.152,"0,1 UF/m²","0,1 UF/m²",926 m²,323 m²,5,4,4,270000 CLP,,,,,
25,Condominio Lagares / Av. Chicureo (r),Casa,Publicado hace 27 días,2021-07-01,"El Algarrobo (myp) 1 - 300, Chicureo, Colina, RM (Metropolitana)",118,3.506.110,"0,04 UF/m²","0,03 UF/m²",3300 m²,370 m²,5,6,1,,,,,,
26,"Casa Amoblada 280 Mts Cubiertos, Piscina  + Quincho",Casa,Publicado hace 25 días,2021-07-01,"Avenida Los Ríos 11100 - 11400, Chicureo, Colina, RM (Metropolitana)",2.500.000,,"0,12 UF/m²","0,08 UF/m²",700 m²,280 m²,5,4,4,180000 CLP,,,,,
27,Espectacular Casa Amoblada En Piedra Roja A Partir De Dic/1,Casa,Publicado hace 22 días,2021-07-01,"Avenida Los Ríos 300 - 600, Chicureo, Colina, RM (Metropolitana)",2.400.000,,"0,11 UF/m²","0,08 UF/m²",765 m²,285 m²,4,4,14,,,,,,
28,Gran Jardin Con Cancha De Tenis,Casa,Publicado hace 21 días,2021-07-01,"Cerro La Pava 1 - 300, Chicureo, Colina, RM (Metropolitana)",53,1.574.778,"0,01 UF/m²",,6300 m²,290 m²,3,2,,,,,,,
29,"Arriendo, Zona Campestre",Casa,Publicado hace 21 días,2021-07-01,"Arriendo, Zona Campestre, Chicureo, Colina, RM (Metropolitana)",2.670.000,,"0,02 UF/m²","0,03 UF/m²",5400 m²,320 m²,4,4,,,,,,,
30,Casa Provenzal En Casas De La Hacienda,Casa,Publicado hace 18 días,2021-07-01,"Camino De La Hacienda 422 - Casa 15, Chicureo, Colina, RM (Metropolitana)",2.500.000,,"0,09 UF/m²","0,1 UF/m²",1000 m²,330 m²,5,5,7,270000 CLP,,,,,
31,"Casa En Arriendo 5 Hab Mas Escritorio, Piscina Y Quincho ",Casa,Publicado hace 18 días,2021-07-01,"Bosques 1 - 300, Chicureo, Colina, RM (Metropolitana)",2.500.000,,"0,09 UF/m²","0,08 UF/m²",1000 m²,300 m²,6,5,,140000 CLP,,,,,
32,"Piedra Roja, Exclusiva Casa Moderna",Casa,Publicado hace 17 días,2021-07-01,"Piedra Roja 1 - 300, Chicureo, Colina, RM (Metropolitana)",3.500.000,,"0,12 UF/m²","0,1 UF/m²",1000 m²,311 m²,5,5,3,,,,,,
33,"Hacienda De Chicureo, Espectacular Vista / Arriendo Amoblado",Casa,Publicado hace 16 días,2021-07-01,"Camino De La Hacienda 1 - 300, Chicureo, Colina, RM (Metropolitana)",4.000.000,,"0,05 UF/m²","0,03 UF/m²",2690 m²,550 m²,5,5,3,,,,,,
34,"Arriendo Casa En Hacienda De Chicureo, Vistas Insuperables !",Casa,Publicado hace 16 días,2021-07-01,"Camino La Pradera 1 - 300, Chicureo, Colina, RM (Metropolitana)",4.000.000,,"0,05 UF/m²","0,03 UF/m²",2700 m²,500 m²,5,4,7,220000 CLP,,,,,
35,Linda Casa En Arriendo En Piedra Roja,Casa,Publicado hace 16 días,2021-07-01,"Linda Casa En Arriendo En Piedra Roja, Chicureo, Colina, RM (Metropolitana)",1.800.000,,"0,13 UF/m²",,480 m²,162 m²,3,3,,,,,,,
36,"Condominio Consolidado, No Perimetral",Casa,Publicado hace 14 días,2021-07-01,"Los Bosques 1 - 300, Chicureo, Colina, RM (Metropolitana)",3.400.000,,"0,12 UF/m²","0,1 UF/m²",1000 m²,311 m²,5,5,4,130000 CLP,,,,,
37,Oportunidad De Arriendo!!,Casa,Publicado hace 13 días,2021-07-01,"Alba 3, Parcela 34, Condominio Valle Hermoso 1 - 300, Chicureo, Colina, RM (Metropolitana)",1.200.000,,"0,07 UF/m²",,600 m²,102 m²,3,2,2,,,,,,
38,Hacienda De Chicureo/disponible Agosto/incluye Gc Y Jardin,Casa,Publicado hace 11 días,2021-07-01,"La Campana 300 - 600, Chicureo, Colina, RM (Metropolitana)",4.000.000,,"0,05 UF/m²","0,03 UF/m²",2550 m²,380 m²,5,4,6,,,,,,
