,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Orientación,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Bodegas
0,San Martín 220,Departamento,Publicado hace 9 meses,2021-07-01,"San Martín 220, Centro de Buin, Buin, RM (Metropolitana)",480.000,,,,74 m²,70 m²,3,2,1,,,,,,,
1,"Sin Dirección, Buin",Departamento,Publicado hace 27 días,2021-07-01,"Centro de Buin, Buin, RM (Metropolitana)",500.000,,,,80 m²,80 m²,2,2,,,,,,,,
2,Arriendo Departamento Nuevo!!,Departamento,Publicado hace 9 días,2021-07-01,"Los Libertadores 7902, Plaza Oeste, Cerrillos, RM (Metropolitana)",400.000,,,,70 m²,70 m²,3,2,1,60000 CLP,,,,,,
3,Excelentes Departamentos Nuevos Próximos  Hospítal,Departamento,Publicado hace 5 meses,2021-07-01,"Luis Lazzarini (próximo Calle Huelén)) 7469 - Departamento 2-3-4 Y 5, Cerro Navia, RM (Metropolitana)",300.000,,,,42 m²,40 m²,2,1,,,,,,,,
4,San Marcos 449,Departamento,Publicado hace 6 meses,2021-07-01,"San Marcos 449, Centro de Colina, Colina, RM (Metropolitana)",280.000,,,,45 m²,45 m²,2,1,,,,,,,,
5,"Espectacular Departamento, Piedra Roja Chicureo,excelent...",Departamento,Publicado hace 5 meses,2021-07-01,"Espectacular Departamento, Piedra Roja Chicureo,excelente Vista Y Seguridad, Chicureo, Colina, RM (Metropolitana)",85,2.525.588,,,245 m²,245 m²,4,5,3,500000 CLP,,,,,,
6,Departamento En Hacienda De Chicureo Club De Golf,Departamento,Publicado hace 16 días,2021-07-01,"Cerro Colorado 13800 - 14100, Chicureo, Colina, RM (Metropolitana)",80,2.377.024,,,270 m²,234 m²,4,4,3,550000 CLP,,,,,,
7,Departamento En Hacienda De Chicureo,Departamento,Publicado hace 7 días,2021-07-01,"Cerro Colorado 422, Chicureo, Colina, RM (Metropolitana)",80,2.377.024,,,275 m²,235 m²,4,5,3,,,,,,,
8,Departamento Hacienda De Chicureo,Departamento,Publicado hace 6 días,2021-07-01,"Avenida Padre Sergio Correa 1 - 300, Chicureo, Colina, RM (Metropolitana)",2.500.000,,,,275 m²,275 m²,4,4,3,,,,,,,
9,Avenida Fermín Vivaceta 3750,Departamento,Publicado hace 6 meses,2021-07-01,"Avenida Fermín Vivaceta 3750, Estación Conchalí, Conchalí, RM (Metropolitana)",350.000,,"0,26 UF/m²",,44.69 m²,40.57 m²,2,1,,47000 CLP,,,,,,
10,Se Arrienda Departamento En Independencia,Departamento,Publicado hace 52 días,2021-07-01,"Avenida Independencia 4599, Vivaceta, Conchalí, RM (Metropolitana)",530.000,,"0,23 UF/m²",,78 m²,70 m²,3,2,1,,,,,,,
11,Depto Duplex Cerca Metro Conchali,Departamento,Publicado hace 22 días,2021-07-01,"San Fernando 1200 - 1500, General Gambino, Conchalí, RM (Metropolitana)",340.000,,"0,29 UF/m²",,40 m²,40 m²,2,1,,35000 CLP,,,,,,
12,Duplex Dos Dormitorios ,Departamento,Publicado hace 17 días,2021-07-01,"San Fernando 1200 - 1500, General Gambino, Conchalí, RM (Metropolitana)",340.000,,"0,29 UF/m²",,40 m²,40 m²,2,1,1,,,,,,,
