,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Bodegas,Departamentos por piso,Orientación,Número de piso de la unidad,Cantidad de pisos
0,Hamlet Departamento Amoblado Excelente ! Disponible!,Departamento,Publicado hace 9 días,2021-07-01,"El Dante 3900 - 4200, Metro Escuela Militar, Las Condes, RM (Metropolitana)",540.000,,"0,32 UF/m²","0,37 UF/m²",56 m²,50 m²,1,1,1,,,,,,,
1,Cercano Metro El Golf,Departamento,Publicado hace 9 días,2021-07-01,"Callao 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",16,502.146,"0,31 UF/m²","0,37 UF/m²",54 m²,49.55 m²,1,1,1,,,,,,,
2,Departamento Barrio El Golf,Departamento,Publicado hace 9 días,2021-07-01,"Avenida Apoquindo 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",720.000,,"0,23 UF/m²","0,29 UF/m²",105 m²,95 m²,3,2,1,,,,,,,
3,Roger De Flor - El Bosque,Departamento,Publicado hace 9 días,2021-07-01,"Roger De Flor 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",420.000,,"0,29 UF/m²","0,37 UF/m²",49 m²,43 m²,1,1,1,,,,,,,
4,Metro Tobalaba,Departamento,Publicado hace 9 días,2021-07-01,"Luz 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",750.000,,"0,26 UF/m²","0,29 UF/m²",96 m²,80 m²,3,2,1,110000 CLP,,,,,,
5,"Increíble Departamento , Amolio Muy Luminoso!!",Departamento,Publicado hace 9 días,2021-07-01,"Avenida Presidente Riesco 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",1.400.000,,"0,26 UF/m²","0,26 UF/m²",183 m²,160 m²,4,3,2,,,,,,,
6,Departamento A Pasos De Isidora Goyenechea,Departamento,Publicado hace 9 días,2021-07-01,"Luz 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",720.000,,"0,2 UF/m²","0,28 UF/m²",124 m²,120 m²,3,3,1,120000 CLP,,,,,,
7,Precioso Departamento 1d/1b Cercano A Metros El Golf Y Tob.,Departamento,Publicado hace 9 días,2021-07-01,"San Sebastián 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",400.000,,"0,27 UF/m²","0,37 UF/m²",50 m²,50 m²,1,1,1,,,,,,,
8,"Excelente Departamento Sector El Golf, Metro Tobalaba",Departamento,Publicado hace 9 días,2021-07-01,"Roger De Flor 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",20,618.026,"0,29 UF/m²","0,33 UF/m²",71.5 m²,61 m²,2,2,1,80000 CLP,,,,,,
9,"Napoleón, Augusto Leguía Sur, San Crescente.",Departamento,Publicado hace 9 días,2021-07-01,"Napoleón 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",13,413.008,"0,31 UF/m²","0,37 UF/m²",45.51 m²,34.15 m²,1,1,1,150000 CLP,,,,,,
10,Excelente Departamento Disponible El 1 De Septiembre  ,Departamento,Publicado hace 9 días,2021-07-01,"Balmoral 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",49,1.455.927,"0,31 UF/m²","0,24 UF/m²",160 m²,160 m²,3,3,2,160000 CLP,,,,,,
11,"Excelente Dpto. Manquehue Norte , Parque Arauco ",Departamento,Publicado hace 9 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",580.000,,"0,41 UF/m²","0,37 UF/m²",48 m²,48 m²,1,1,1,,,,,,,
12,Los Militares - Excelente - Pasos Metro Manquehue,Departamento,Publicado hace 9 días,2021-07-01,"Los Militares 6600 - 6900, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",830.000,,"0,28 UF/m²","0,26 UF/m²",101 m²,96 m²,3,3,1,,,,,,,
13,Departamento Amoblado / Presidente Errázuriz/ Alcántara,Departamento,,2021-07-01,"Alcántara 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",2.000.000,,"0,36 UF/m²","0,26 UF/m²",189 m²,159 m²,4,3,2,250000 CLP,,,,,,
14,Metro El Golf/ Metro Tobalaba/ Estacionamiento Y Bodega,Departamento,Publicado hace 9 días,2021-07-01,"Luz 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",670.000,,"0,26 UF/m²","0,33 UF/m²",87 m²,87 m²,2,2,1,100000 CLP,,,,,,
15,Elegante  Eclusivo Ascensor Privado Al Departamento Ideal ,Departamento,Publicado hace 8 días,2021-07-01,"Avenida Presidente Riesco 5100 - 5400, Metro Escuela Militar, Las Condes, RM (Metropolitana)",2.400.000,,"0,38 UF/m²","0,26 UF/m²",210 m²,200 m²,4,3,3,280000 CLP,15 años,,,,,
16,Muy Luminoso,Departamento,Publicado hace 8 días,2021-07-01,"San Francisco De Asís 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",500.000,,"0,36 UF/m²","0,37 UF/m²",47 m²,42 m²,1,1,1,75000 CLP,,,,,,
17,Moderno Y Amplio Departamento De 2d/2b A Estrenar,Departamento,Publicado hace 2 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",895.000,,"0,32 UF/m²","0,33 UF/m²",93 m²,74 m²,2,2,1,102000 CLP,,,,,,
18,Moderno Y Amplio Departamento De 2d/2b A Estrenar,Departamento,Publicado hace 2 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",895.000,,"0,32 UF/m²","0,33 UF/m²",93 m²,74 m²,2,2,1,102000 CLP,,,,,,
19,Moderno Y Amplio Departamento De 2d/2b A Estrenar,Departamento,Publicado hace 2 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",895.000,,"0,32 UF/m²","0,33 UF/m²",93 m²,74 m²,2,2,1,102000 CLP,,,,,,
