,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
0,Código: :codigo:,,:direccion: Ver ubicación,:titulo:,:precioUF:,:precioDespliegue:,,1,,50 m²,60 m²,39.482.734,03-03-2021,,,-33.4041,-70.5949
1,Código: :codigo:,,:direccion: Ver ubicación,:titulo:,:precioUF:,:precioDespliegue:,,3,,280 m²,280 m²,262.310.282,10-06-2021,2020 1ºSem,83,-33.4059,-70.594
2,Código: EB-GU1844,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Vitacura.,UF 80,$ 2.362.358,4,3,,243 m²,,,03-06-2021,2020 1ºSem,83,-33.4025,-70.5969
3,Código: 28530,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Armando Jaramillo,$ 1.000.030,"UF 33,87",3,2,,110 m²,140 m²,,12-06-2021,2020 1ºSem,83,-33.4028,-70.5942
4,Código: 201075955,Casa,Casa en Arriendo Vitacura - Metropolitana Ver ubicación,Nueva Costanera,UF 280,$ 8.268.254,7,4,615 m²,293 m²,,615.583.793,09-10-2020,2020 1ºSem,104,-33.4,-70.5983
5,Código: 26106,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Alonso de Córdova,$ 1.300.000,"UF 44,02",3,3,,160 m²,170 m²,143.078.159,15-04-2021,2020 1ºSem,91,-33.4004,-70.5977
6,Código: 202051998,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Las Catalpas/Vitacura,$ 370.000,"UF 12,53",1,1,,32 m²,32 m²,31.956.490,29-12-2020,2020 1ºSem,83,-33.4071,-70.5981
7,Código: 202373604,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Las Nieves,$ 650.000,"UF 22,01",2,2,,74 m²,81 m²,58.318.394,23-04-2021,2020 1ºSem,83,-33.4041,-70.5936
8,Código: 52391,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,ALONSO DE CORDOVA - VITACURA/LAS NIEVES,$ 470.000,"UF 15,92",1,1,,50 m²,,39.482.734,16-04-2021,2020 1ºSem,83,-33.4045,-70.5948
9,Código: MAL1908,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Departamento Amoblado Las Nieves,UF 85,$ 2.510.005,3,4,,380 m²,380 m²,,04-01-2021,2020 1ºSem,83,-33.4065,-70.5952
10,Código: 202375113,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Las Nieves /Las Catalpas,$ 900.000,"UF 30,48",3,2,,126 m²,150 m²,5.971.894,20-03-2021,2020 1ºSem,83,-33.4068,-70.5984
11,Código: 77,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,PARQUE BICENTENARIO / NUEVA COSTANERA,UF 30,$ 885.884,2,2,,67 m²,70 m²,2.082.266,01-07-2021,2020 1ºSem,28,-33.4054,-70.5991
12,Código: 202005526,Departamento,Departamento en Arriendo Recoleta - Metropolitana Ver ubicación,Avenida Santo Dumont,$ 300.000,"UF 10,16",2,1,,43 m²,"44,8 m²",,10-06-2021,,,-33.4215,-70.6493
13,Código: 202006572,Departamento,Departamento en Arriendo Recoleta - Metropolitana Ver ubicación,Santos Dumont con Av. Perú,$ 390.000,"UF 13,21",3,2,,62 m²,64 m²,29.838.961,22-05-2021,2020 1ºSem,50,-33.4224,-70.6409
14,Código: 53279,Departamento,Departamento en Arriendo Recoleta - Metropolitana Ver ubicación,LORETO/ STA FILOMENA/BARRIO BELLAVISTA,$ 300.000,"UF 10,16",1,1,,40 m²,,,18-06-2021,2020 1ºSem,47,-33.4296,-70.6421
15,,Departamento,Departamento en Arriendo Recoleta - Metropolitana Ver ubicación,santos Dumont,$ 520.000,"UF 17,61",2,2,,56 m²,63 m²,,24-04-2021,2020 1ºSem,44,-33.4219,-70.6476
16,,,,,:precioUF:,"UF 7,11",1,1,,24 m²,24 m²,11.438.272,05-02-2021,2020 1ºSem,44,-33.4258,-70.6463
