,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
0,Código: 101012508,Casa,Casa en Venta Usado Colina - Metropolitana Ver ubicación,Las Brisas Norte,UF 14.300,$ 422.271.564,4,4,"715,9 m²","284,8 m²","284,8 m²",222.897.150,07-02-2019,2020 1ºSem,48,-33.2164,-70.6665
1,Código: 15510,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Camino Gran Vista,UF 14.500,$ 428.177.460,4,3,,210 m²,210 m²,216.300.715,05-04-2021,2020 1ºSem,68,-33.4154,-70.5183
2,Código: 1564811,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,El Remanso / San Carlos de Apoquindo.,UF 15.800,$ 466.565.784,3,2,,174 m²,,223.216.590,11-02-2020,2020 1ºSem,68,-33.4154,-70.5183
3,Código: 101034894,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,La Foresta,UF 40.000,$ 1.181.179.200,4,4,2.100 m²,700 m²,,688.400.674,02-01-2020,2020 1ºSem,73,-33.4118,-70.5188
4,Código: 14093,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Camino Los Refugios - El Arrayán,UF 27.000,$ 797.295.960,6,6,5.800 m²,500 m²,,449.745.016,05-11-2020,2020 1ºSem,74,-33.3589,-70.4848
5,Código: 101077114,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Condominio Los Quillayes,UF 42.000,$ 1.240.238.160,7,5,7.200 m²,495 m²,,545.300.840,12-01-2021,2020 1ºSem,74,-33.358,-70.4836
6,Código: 101036828,Casa,Casa en Venta Usado La Reina - Metropolitana Ver ubicación,CARLOS SILVA VILDOSOLA,UF 17.600,$ 519.718.848,4,4,530 m²,272 m²,,152.242.731,04-06-2021,2020 1ºSem,67,-33.4383,-70.5375
7,Código: 102045439,Departamento,Departamento en Venta Usado La Reina - Metropolitana Ver ubicación,Nicanor Plaza - Helsby,UF 15.900,$ 469.518.732,3,3,,140 m²,260 m²,158.590.309,31-03-2021,2020 1ºSem,78,-33.4351,-70.5321
8,Código: 42165,Casa,Casa en Venta Usado La Reina - Metropolitana Ver ubicación,Padre Hurtado/Valenzuela Puelma,UF 23.500,$ 693.942.780,4,3,1.343 m²,275 m²,,339.240.720,04-05-2021,2020 1ºSem,68,-33.4327,-70.5301
9,Código: Add991834,Casa,Casa en Venta Usado La Reina - Metropolitana Ver ubicación,Helsby,$ 585.000.000,"UF 19.810,71",4,3,973 m²,206 m²,206 m²,168.597.991,06-01-2021,2020 1ºSem,68,-33.4356511,-70.5349684
10,Código: 1028018067-242,Casa,Casa en Venta Usado Colina - Metropolitana Ver ubicación,LAS BRISAS 2,UF 10.500,$ 310.059.540,,,5.015 m²,,,101.503.222,10-06-2021,,,-33.2374,-70.6955
11,Código: 101078142,Casa,Casa en Venta Usado Colina - Metropolitana Ver ubicación,Las Brisas de Chicureo LM,UF 26.900,$ 794.343.012,5,4,2.963 m²,339 m²,,257.167.058,23-04-2021,,,-33.2374,-70.6959
12,Código: 101053291,Casa,Casa en Venta Usado Puente Alto - Metropolitana Ver ubicación,av mexico con san Carlos,$ 68.000.000,"UF 2.302,78",4,2,60 m²,69 m²,,13.860.426,15-06-2021,2020 1ºSem,29,-33.6021,-70.5571
13,Código: 101058089,Casa,Casa en Venta Usado Curacaví - Metropolitana Ver ubicación,Camino Hacienda de Curacavi,$ 370.000.000,"UF 12.529,85",4,3,5.000 m²,260 m²,260 m²,94.117.256,10-06-2020,,,-33.3919,-71.1728
14,Código: 102712053,Departamento,Departamento en Venta Usado Independencia - Metropolitana Ver ubicación,Gamero/ Av. Fermin Vivaceta,UF 2.000,$ 59.058.960,1,1,,29 m²,29 m²,28.797.401,19-12-2020,2020 1ºSem,41,-33.4213,-70.6615
15,Código: 1028050048-56,Casa,Casa en Venta Usado La Florida - Metropolitana Ver ubicación,"Brasil, Rojas Magallanes",$ 650.000.000,"UF 22.011,9",3,2,1.000 m²,106 m²,,125.903.887,19-02-2021,2020 1ºSem,47,-33.5391,-70.5847
16,Código: 101032389,Casa,Casa en Venta Usado La Florida - Metropolitana Ver ubicación,Ecuador con Enrique Olivares,$ 200.000.000,"UF 6.772,89",3,3,225 m²,150 m²,,59.662.441,04-10-2019,2020 1ºSem,47,-33.539,-70.5807
17,Código: 102375473,Departamento,Departamento en Venta Usado Maipú - Metropolitana Ver ubicación,cuatro poniente / del ferrocarril,UF 3.200,$ 94.494.336,2,2,,72 m²,72 m²,41.099.150,26-04-2021,2020 1ºSem,16,-33.5422,-70.7817
18,Código: 26969,Casa,Casa en Venta Usado Maipú - Metropolitana Ver ubicación,Pasaje Quelco,$ 95.000.000,"UF 3.217,12",4,1,127 m²,113 m²,,27.168.645,02-05-2021,2020 1ºSem,32,-33.5402,-70.7837
19,Código: 1028080013-19,Departamento,Departamento en Venta Usado La Cisterna - Metropolitana Ver ubicación,SE VENDE DEPTO 2 DORM FERNADEZ ALBANO,$ 75.000.000,"UF 2.539,83",2,1,,44 m²,44 m²,19.424.726,20-06-2021,,,-33.5233,-70.6537
20,Código: 102075944,Departamento,Departamento en Venta Usado La Cisterna - Metropolitana Ver ubicación,Santa Clara - Gran Avenida,UF 3.270,$ 96.561.399,3,1,,"54,6 m²","57,5 m²",49.247.167,12-10-2020,,,-33.5204,-70.6556
21,Código: 102075945,Departamento,Departamento en Venta Usado La Cisterna - Metropolitana Ver ubicación,Santa Clara - Gran Avenida,UF 3.730,$ 110.144.960,3,2,,"61,7 m²","64,9 m²",36.648.824,12-10-2020,,,-33.5204,-70.6556
22,Código: 19312,Casa,Casa en Venta Usado La Cisterna - Metropolitana Ver ubicación,Eulogio Altamirano,$ 520.000.000,"UF 17.609,52",10,4,1.240 m²,300 m²,,168.245.365,05-11-2020,2020 1ºSem,28,-33.5253,-70.6576
23,Código: 102375220,Departamento,Departamento en Venta Usado La Cisterna - Metropolitana Ver ubicación,Av. Fernández Albano / Esmeralda,UF 2.800,$ 82.682.544,3,2,,58 m²,61 m²,31.135.724,26-03-2021,2020 1ºSem,38,-33.5244,-70.6585
24,Código: 102075940,Departamento,Departamento en Venta Usado La Cisterna - Metropolitana Ver ubicación,Santa Clara - Gran Avenida,UF 2.730,$ 80.615.480,2,1,,"43,6 m²","46,4 m²",71.825.484,12-10-2020,,,-33.5204,-70.6556
25,Código: 102075941,Departamento,Departamento en Venta Usado La Cisterna - Metropolitana Ver ubicación,Santa Clara - Gran Avenida,UF 3.275,$ 96.709.047,2,2,,"48,6 m²","51,6 m²",37.215.509,12-10-2020,,,-33.5204,-70.6556
26,Código: 101008026,Casa,Casa en Venta Usado Colina - Metropolitana Ver ubicación,Chamisero /Dunalastair,UF 12.800,$ 377.977.344,5,4,567 m²,154 m²,,94.065.363,27-05-2021,2020 1ºSem,62,-33.3078,-70.657
27,Código: 22946,Casa,Casa en Venta Usado Peñalolén - Metropolitana Ver ubicación,Quebrada vitor,$ 450.000.000,"UF 15.239,01",4,2,890 m²,243 m²,,159.422.807,06-02-2021,2020 1ºSem,51,-33.469,-70.5337
28,Código: 1028071003-95,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Alejandro Fleming,UF 9.600,$ 283.483.008,4,2,253 m²,115 m²,,89.610.062,14-03-2021,2020 1ºSem,84,-33.4246,-70.5502
