,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
0,Código: 102129985,Departamento,Departamento en Venta Usado Macul - Metropolitana Ver ubicación,Exequiel Fernandez - Benito Rebolledo,$ 75.000.000,"UF 2.539,83",3,1,,60 m²,60 m²,15.327.109,29-04-2021,2020 1ºSem,40,-33.5034,-70.603
1,Código: 101045095,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,Manquehue Norte / Luis Pasteur,UF 20.000,$ 590.589.600,3,2,312 m²,130 m²,,180.029.194,25-11-2020,2020 1ºSem,107,-33.3871,-70.5768
2,Código: 1009,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,SAN DAMIAN / LAS CONDES,UF 12.200,$ 360.259.656,4,3,,140 m²,170 m²,,15-05-2019,2020 1ºSem,75,-33.3804,-70.5746
3,Código: 101072295,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,LUIS PASTEUR/ LO ARCAYA,UF 47.000,$ 1.387.885.560,6,6,1.400 m²,409 m²,,747.762.658,30-10-2019,2020 1ºSem,115,-33.3899,-70.579
4,Código: 6920,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,LUIS PASTEUR / MANQUEHUE,UF 11.900,$ 351.400.812,4,4,,155 m²,170 m²,157.867.243,15-06-2021,2020 1ºSem,81,-33.3858,-70.5751
5,Código: 101134651,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,"Luis Pasteur, Joaquin Cerda, Bradfor",UF 26.500,$ 782.531.220,4,4,500 m²,280 m²,,218.875.650,17-06-2020,2020 1ºSem,107,-33.3852,-70.5737
6,Código: Add487951,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,Casa rústica en barrio Borde Río,UF 23.900,$ 705.754.572,7,4,671 m²,,209 m²,355.991.680,30-06-2018,2020 1ºSem,98,-33.3813732,-70.5771794
7,Código: 420962,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Juan XXIII / Manquehue,UF 12.500,$ 369.118.500,4,3,,130 m²,160 m²,154.957.357,29-05-2021,2020 1ºSem,81,-33.3883,-70.5744
8,,,,,UF 26.000,$ 767.766.480,4,4,490 m²,230 m²,,234.244.750,06-05-2021,2020 1ºSem,107,-33.3868,-70.5734
9,Código: 102005068,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Manquehue Norte / Joaquín Cerda (Dos Estacionamientos),UF 15.900,$ 469.518.732,3,2,,161 m²,203 m²,160.519.949,07-06-2021,2020 1ºSem,75,-33.3839,-70.5777
10,Código: 101005059,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,Borde Río / Escrivá de Balaguer,UF 28.900,$ 853.401.972,5,2,638 m²,200 m²,,334.443.372,12-05-2021,2020 1ºSem,98,-33.3808,-70.5728
11,,,,,,,3,4,,140 m²,200 m²,195.189.163,18-05-2021,,,-33.3848,-70.5774
12,Código: 21043,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Lo Castillo / Plaza Turquia,UF 16.500,$ 487.236.420,3,3,,140 m²,170 m²,173.732.652,23-06-2021,2020 1ºSem,75,-33.3814,-70.5716
13,Código: 101134804,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,Espoz,UF 32.000,$ 944.943.360,3,5,729 m²,285 m²,,366.473.870,04-09-2020,2020 1ºSem,107,-33.3869,-70.5799
14,Código: 101032388,Casa,Casa en Venta Usado Maipú - Metropolitana Ver ubicación,Camino el Bosque con Camino Melipilla,$ 140.000.000,"UF 4.741,02",5,4,144 m²,114 m²,,50.132.751,04-10-2019,2020 1ºSem,29,-33.5471,-70.7912
15,,,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Maravillosa Casa de 3 pisos (421/600) - La Parva Alta,UF 58.000,$ 1.712.709.840,7,6,600 m²,421 m²,,,15-06-2019,,,-33.3341,-70.2888
16,Código: 102073029,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,LA PARVA ALTA,UF 12.500,$ 369.118.500,5,4,,140 m²,156 m²,129.968.825,23-12-2019,,,-33.334,-70.2879
17,Código: 1028057069-6,Casa,Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación,Caciques Chilenos norte,UF 8.500,$ 251.000.580,4,4,210 m²,145 m²,,78.216.943,05-06-2021,2020 1ºSem,44,-33.3557,-70.6674
18,Código: 101074113,Casa,Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación,EXCELENTE ESTADO! COLEGIOS Y COMERCIO,UF 8.000,$ 236.235.840,4,4,365 m²,140 m²,,106.736.414,15-04-2020,2020 1ºSem,44,-33.3551,-70.6673
19,Código: 1028057068-2,Casa,Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación,Los Caciques Chilenos norte,UF 8.500,$ 251.000.580,4,4,210 m²,145 m²,,78.216.943,10-06-2021,2020 1ºSem,44,-33.3557,-70.6674
20,Código: 101078205,Casa,Casa en Venta Usado Huechuraba - Metropolitana Ver ubicación,El Carmen con la Hacienda S.P,UF 9.700,$ 286.435.956,5,5,390 m²,139 m²,,118.186.995,26-04-2021,2020 1ºSem,44,-33.3536,-70.6623
21,Código: 101042219,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,Gran Via,UF 68.890,$ 2.034.285.877,5,4,5.500 m²,350 m²,350 m²,559.674.442,09-03-2020,2020 1ºSem,79,-33.3684,-70.5548
22,Código: 101161042,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,Gran Vía / Vía Esmeralda,UF 45.000,$ 1.328.826.600,5,4,5.000 m²,380 m²,,649.327.445,25-10-2019,2020 1ºSem,79,-33.3671,-70.5574
23,Código: 101039003,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,Lo Curro,UF 65.000,$ 1.919.416.200,5,5,5.000 m²,700 m²,,465.751.853,01-04-2019,2020 1ºSem,79,-33.3696,-70.5542
24,Código: 101035448,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,Lo Curro,UF 60.000,$ 1.771.768.800,3,3,6.000 m²,1.150 m²,1.150 m²,834.506.824,02-01-2020,2020 1ºSem,79,-33.3665,-70.5594
25,Código: 16643,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,Lo Curro Medio - Vitacura,UF 59.990,$ 1.771.473.505,4,5,6.657 m²,700 m²,200 m²,465.751.853,12-04-2021,2020 1ºSem,79,-33.3692,-70.5546
26,Código: 102008651,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Valle Escondido,UF 18.500,$ 546.295.380,3,3,,200 m²,220 m²,226.446.672,28-05-2021,,,-33.3524,-70.4929
27,Código: 102007998,Departamento,Departamento en Venta Usado Santiago - Metropolitana Ver ubicación,Esperanza / Barrio Yungay,$ 79.000.000,"UF 2.675,29",3,2,,50 m²,50 m²,35.976.490,22-05-2021,2020 1ºSem,38,-33.4365,-70.6759
28,Código: 101201473,Casa,Casa en Venta Usado Santiago - Metropolitana Ver ubicación,Metro Cumming,$ 125.000.000,"UF 4.233,06",4,1,107 m²,85 m²,,26.748.018,16-10-2020,,,-33.4358,-70.6719
29,Código: 28730,Departamento,Departamento en Venta Usado Santiago - Metropolitana Ver ubicación,Rafael Sotomayor,$ 72.000.000,"UF 2.438,24",2,1,,39 m²,39 m²,26.183.984,19-06-2021,2020 1ºSem,36,-33.4398,-70.6735
30,Código: 101037361,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,VITAL APOQUINDO,UF 14.900,$ 439.989.252,4,2,460 m²,188 m²,,172.097.770,03-06-2021,2020 1ºSem,65,-33.4058,-70.5351
31,Código: 101005007,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,General Blanche / Cardenal Newman,UF 12.900,$ 380.930.292,4,2,286 m²,152 m²,,125.596.246,29-01-2021,2020 1ºSem,76,-33.4073,-70.5381
32,Código: P4493,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,PAUL HARRIS / CAMINO EL ALBA,UF 24.000,$ 708.707.520,4,4,810 m²,288 m²,,,11-03-2019,2020 1ºSem,76,-33.4049,-70.5383
33,Código: 101041326,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Camino El Alba / Camino El Algarrobo,UF 35.000,$ 1.033.531.800,4,4,1.518 m²,500 m²,1 m²,554.855.161,08-06-2019,2020 1ºSem,80,-33.4011,-70.5319
34,Código: 101132306,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,General Blanche/ Paul Harris,$ 460.000.000,"UF 15.577,65",3,3,288 m²,180 m²,,120.549.625,03-06-2021,2020 1ºSem,65,-33.409,-70.5368
35,Código: 1028026083-12,Casa,Casa en Venta Usado Colina - Metropolitana Ver ubicación,Avenida Casa Piedra,UF 10.800,$ 318.918.384,6,4,478 m²,160 m²,,109.331.733,05-06-2021,,,-33.2015,-70.6484
36,Código: 102008605,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Riesco/luz,UF 16.800,$ 496.095.264,3,4,,200 m²,218 m²,247.262.981,28-05-2021,2020 1ºSem,82,-33.412,-70.6002
37,Código: 1564576,Casa,Casa en Venta Usado Providencia - Metropolitana Ver ubicación,Barrio las Flores/Providencia Los Narcisos,UF 16.990,$ 501.705.865,4,4,368 m²,289 m²,,263.561.636,25-02-2020,2020 1ºSem,88,-33.4115,-70.6022
38,Código: 102330503,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Presidente Riesco / Club de Golf Los Leones,UF 29.000,$ 856.354.920,4,4,,390 m²,402 m²,442.782.957,25-09-2020,2020 1ºSem,82,-33.4119,-70.6008
39,Código: 102078235,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,"El Bosque norte, Ebro",UF 12.600,$ 372.071.448,4,3,,133 m²,133 m²,124.027.898,29-04-2021,2020 1ºSem,82,-33.4166,-70.6017
40,Código: 102375421,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,El Bosque Norte,UF 7.690,$ 227.081.701,:dormitoriosText:,2,,79 m²,90 m²,77.448.864,10-04-2021,2020 1ºSem,82,-33.4157,-70.6035
41,Código: 20634,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Presidente Riesco,UF 14.000,$ 413.412.720,5,3,,180 m²,220 m²,189.453.072,03-12-2020,2020 1ºSem,82,-33.4117,-70.6014
42,Código: 102045325,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,LUZ / RIESCO / EL GOLF,UF 6.850,$ 202.276.938,2,2,,60 m²,77 m²,71.905.852,22-02-2021,2020 1ºSem,82,-33.4106,-70.6015
43,Código: 28098,Departamento,Departamento en Venta Usado Providencia - Metropolitana Ver ubicación,Luis Thayer Ojeda,UF 7.800,$ 230.329.944,3,2,,100 m²,100 m²,114.655.618,29-05-2021,2020 1ºSem,75,-33.4192,-70.6028
44,,,,,,,4,5,,500 m²,540 m²,442.782.957,19-02-2021,,,-33.4117,-70.6008
45,Código: 102078913,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Helvecia con Avda Vitacura / Remodelado ( cod mjn),UF 4.100,$ 121.070.868,1,1,,37 m²,41 m²,46.581.772,29-06-2021,2020 1ºSem,82,-33.4152,-70.6042
46,Código: 101020877,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,"Sector el Golf, Las Condes",UF 20.320,$ 600.039.033,3,2,"156,3 m²",105 m²,105 m²,101.975.012,07-02-2019,,,-33.4104,-70.6016
47,Código: 43357,Departamento,Departamento en Venta Usado Providencia - Metropolitana Ver ubicación,Andres Bello/Providencia,UF 4.000,$ 118.117.920,1,1,,50 m²,50 m²,29.586.607,20-11-2019,2020 1ºSem,75,-33.4188,-70.6071
48,Código: 102008848,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,El Golf,UF 9.500,$ 280.530.060,2,2,,100 m²,114 m²,94.644.534,28-05-2021,2020 1ºSem,82,-33.4118,-70.6006
49,Código: 1576297,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,TOUR VIRTUAL / Cómodo departamento / Portada Vitacura,UF 5.400,$ 159.459.192,2,2,,70 m²,90 m²,92.408.127,30-04-2021,2020 1ºSem,82,-33.4123,-70.603
50,Código: 101021930,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,"El Golf, cercano a rotonda Perez Zujovic",UF 21.900,$ 646.695.612,3,2,146 m²,"134,6 m²","134,6 m²",114.188.940,07-02-2019,,,-33.4103,-70.6015
51,Código: P3013,Casa,Casa en Venta Usado Providencia - Metropolitana Ver ubicación,SANTA MARIA / EL CERRO,UF 15.300,$ 451.801.044,4,3,280 m²,240 m²,,,11-03-2019,2020 1ºSem,88,-33.4161,-70.6095
52,Código: 102008738,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,EL GOLF,UF 9.500,$ 280.530.060,2,2,,93 m²,111 m²,102.075.046,08-06-2021,2020 1ºSem,82,-33.4133,-70.6004
