,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
0,Código: TT-1762138,Departamento,Departamento en Arriendo La Florida - Metropolitana Ver ubicación,"ATAHUALPA 235 A, La Florida",$ 490.000,"UF 16,59",3,2,,77 m²,,60.958.531,21-06-2021,2020 1ºSem,39,-33.51802761,-70.60747328
1,Código: TT-1738996,Departamento,Departamento en Arriendo La Florida - Metropolitana Ver ubicación,"Atahualpa 235 Depto 404-D, La Florida",$ 480.000,"UF 16,25",3,2,,82 m²,,,18-05-2021,2020 1ºSem,39,-33.51815428,-70.60701295
2,Código: TT-1742943,Departamento,Departamento en Arriendo La Florida - Metropolitana Ver ubicación,"Vicuña Mackena Oriente 6553, La Florida",$ 495.000,"UF 16,76",3,2,,"60,7 m²",,,24-05-2021,2020 1ºSem,48,-33.5147845,-70.6050882
3,Código: 35579,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Coronel Godoy,$ 260.000,"UF 8,8",1,1,,34 m²,34 m²,,28-06-2021,2020 1ºSem,37,-33.4529,-70.6943
4,Código: 1489,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Toro Mazote,$ 310.000,"UF 10,5",2,1,,50 m²,50 m²,,16-06-2021,2020 1ºSem,60,-33.4559,-70.6914
5,,,,,,,,,,,,,,,,,
6,Código: 19111,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Buzo Sobenes,$ 180.000,"UF 6,1",1,1,,23 m²,23 m²,,29-06-2021,,,-33.45,-70.698
7,Código: 34677,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Avenida Ecuador,$ 270.000,"UF 9,14",1,1,,34 m²,38 m²,,24-06-2021,2020 1ºSem,37,-33.4536,-70.6989
8,Código: 28938,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Constantino,$ 250.000,"UF 8,47",1,1,,27 m²,28 m²,,26-06-2021,,,-33.4505,-70.6963
9,Código: 12285,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,San Gumercindo,$ 290.000,"UF 9,82",2,1,,37 m²,40 m²,,29-06-2021,2020 1ºSem,37,-33.4514,-70.6951
10,Código: 35482,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Recreo,$ 280.000,"UF 9,48",1,1,,32 m²,37 m²,,27-06-2021,,,-33.4575,-70.6957
11,Código: 35479,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Recreo,$ 280.000,"UF 9,48",1,1,,32 m²,37 m²,,27-06-2021,,,-33.4575,-70.6957
12,Código: TT-1750614,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,"CONDE DEL MAULE 4470 DP 2515 DP 2515, Estación Central",$ 220.000,"UF 7,45",1,1,,35 m²,,28.282.864,03-06-2021,,,-33.45389429,-70.69685594
13,Código: 21526,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Avenida Ecuador,$ 310.000,"UF 10,5",2,2,,45 m²,55 m²,,16-06-2021,2020 1ºSem,37,-33.4526,-70.6964
14,Código: 32043,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Conde del Maule,$ 305.000,"UF 10,33",2,1,,37 m²,40 m²,,27-06-2021,2020 1ºSem,48,-33.4538,-70.6959
15,Código: 1753,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Toro Mazote,$ 265.000,"UF 8,97",1,1,,35 m²,36 m²,,27-06-2021,2020 1ºSem,60,-33.4559,-70.6914
16,Código: :codigo:,,:direccion: Ver ubicación,:titulo:,:precioUF:,"UF 8,47",:dormitoriosText:,1,:superficieTerreno: m²,:metrosUtiles: m²,:metrosConstruidos: m²,:avaluoFiscalTotalPesos:,:fechaPublicacionDespliegue:,,,-33.4505,-70.6963
17,Código: 19520,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Blanco Garcés,$ 200.000,"UF 6,77",1,1,,30 m²,30 m²,,29-06-2021,,,-33.4504,-70.6978
18,Código: 35485,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Recreo,$ 280.000,"UF 9,48",1,1,,32 m²,37 m²,,27-06-2021,,,-33.4575,-70.6957
19,Código: 28620,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Conde del Maule,$ 450.000,"UF 15,24",3,2,,68 m²,72 m²,,16-06-2021,2020 1ºSem,37,-33.453,-70.693
20,Código: 35486,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Recreo,$ 280.000,"UF 9,48",1,1,,32 m²,37 m²,,27-06-2021,,,-33.4575,-70.6957
21,Código: 30323,Departamento,Departamento en Arriendo Estación Central - Metropolitana Ver ubicación,Embajador Quintana,$ 320.000,"UF 10,84",2,1,,42 m²,44 m²,,16-06-2021,2020 1ºSem,37,-33.4512,-70.6943
22,Código: Add1081804,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Santa Isabel 55, Santiago",$ 294.000,"UF 9,96",1,1,27 m²,,27 m²,21.951.199,08-06-2021,2020 1ºSem,55,-33.4475191,-70.6331684
23,Código: 32564,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Isabel,"UF 13,86",$ 409.278,2,2,,42 m²,43 m²,,16-06-2021,2020 1ºSem,55,-33.4475,-70.6332
24,Código: Add1086196,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Santa Isabel 55, Santiago",$ 294.000,"UF 9,96",1,1,27 m²,,27 m²,21.951.199,15-06-2021,2020 1ºSem,55,-33.4475191,-70.6331684
25,Código: 30391,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Isabel,$ 340.000,"UF 11,51",1,1,,33 m²,39 m²,,16-06-2021,2020 1ºSem,55,-33.4476,-70.6333
26,Código: 20329,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Avenida Portugal,$ 190.000,"UF 6,43",1,1,,25 m²,25 m²,,29-06-2021,2020 1ºSem,55,-33.4474,-70.6358
27,Código: 23566,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Lira,$ 380.000,"UF 12,87",1,1,,75 m²,60 m²,,16-06-2021,2020 1ºSem,55,-33.4464,-70.6398
28,,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Santa Isabel 55, Santiago",$ 294.000,"UF 9,96",1,1,,,27 m²,21.951.199,18-05-2021,2020 1ºSem,55,-33.4475191,-70.6331684
29,Código: TT-1730460,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"ARGOMEDO 65, Santiago",$ 360.000,"UF 12,19",1,1,,42 m²,,,05-05-2021,2020 1ºSem,55,-33.4487014,-70.6328793
30,Código: TT-1716542,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Arrienda Depto Amoblado un Dorm. en Santa Isabel y Portugal,$ 300.000,"UF 10,16",1,1,,35 m²,,25.264.992,15-04-2021,2020 1ºSem,55,-33.44917794,-70.63634297
31,Código: 32563,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Isabel,UF 10,$ 295.294,1,1,,1 m²,1 m²,,16-06-2021,2020 1ºSem,55,-33.4475,-70.6332
32,Código: 28644,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Avenida Portugal,$ 270.000,"UF 9,14",1,1,,32 m²,35 m²,,16-06-2021,2020 1ºSem,55,-33.4474,-70.6358
33,Código: 3888,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Argomedo,$ 330.000,"UF 11,18",1,1,,36 m²,38 m²,,23-06-2021,2020 1ºSem,55,-33.4487,-70.6329
34,,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 2D2B, Santa Isabel 55, Santiago",$ 380.000,"UF 12,87",2,2,42 m²,,42 m²,21.951.199,18-05-2021,2020 1ºSem,55,-33.4475191,-70.6331684
35,Código: Add1086251,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 2D2B, Santa Isabel 55, Santiago",$ 380.000,"UF 12,87",2,2,42 m²,,42 m²,21.951.199,16-06-2021,2020 1ºSem,55,-33.4475191,-70.6331684
36,Código: TT-1736470,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"RAULI 596 DEPARTAMENTO, Santiago",$ 350.000,"UF 11,85",2,1,,40 m²,,,14-05-2021,2020 1ºSem,55,-33.4495695,-70.6364163
37,Código: 29638,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Argomedo,$ 390.000,"UF 13,21",2,2,,57 m²,58 m²,,16-06-2021,2020 1ºSem,55,-33.4493,-70.6335
38,Código: 30389,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Isabel,$ 323.290,"UF 10,95",1,1,,33 m²,39 m²,,16-06-2021,2020 1ºSem,55,-33.4476,-70.6333
39,Código: Add1086194,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Santa Isabel 55, Santiago",$ 294.000,"UF 9,96",1,1,27 m²,,27 m²,21.951.199,15-06-2021,2020 1ºSem,55,-33.4475191,-70.6331684
40,,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Avenida Portugal,$ 280.000,"UF 9,48",1,1,,32 m²,35 m²,,16-06-2021,2020 1ºSem,55,-33.4474,-70.6358
41,Código: 34263,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,Avenida Manquehue Norte,$ 850.000,"UF 28,78",2,2,,60 m²,74 m²,,17-06-2021,2020 1ºSem,93,-33.399,-70.5723
42,Código: 13969,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,Avenida Presidente Kennedy,$ 750.000,"UF 25,4",2,1,,72 m²,80 m²,,16-06-2021,2020 1ºSem,93,-33.3992,-70.5731
43,Código: TT-1759267,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Vicuña Mackenna 1385, Santiago",$ 340.000,"UF 11,51",1,1,,38 m²,,,16-06-2021,2020 1ºSem,56,-33.46048857,-70.62877865
44,Código: 31127,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,San Eugenio 1209,$ 430.000,"UF 14,56",1,1,,38 m²,42 m²,,16-06-2021,2020 1ºSem,58,-33.4638,-70.6248
45,Código: 32555,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Maule,"UF 10,7",$ 315.965,1,1,,30 m²,30 m²,,16-06-2021,2020 1ºSem,56,-33.4654,-70.6293
46,Código: 32560,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Maule,"UF 14,6",$ 431.130,2,2,,53 m²,55 m²,,16-06-2021,2020 1ºSem,56,-33.4654,-70.6293
47,Código: 32557,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Maule,"UF 14,6",$ 431.130,2,2,,53 m²,55 m²,,16-06-2021,2020 1ºSem,56,-33.4654,-70.6293
48,Código: 32559,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Maule,"UF 10,8",$ 318.918,1,1,,30 m²,30 m²,,16-06-2021,2020 1ºSem,56,-33.4654,-70.6293
49,Código: Add1050031,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Maule 150, Santiago",$ 300.000,"UF 10,16",1,1,30 m²,,30 m²,,18-05-2021,2020 1ºSem,56,-33.4654019,-70.6293474
50,Código: 31780,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Vicuña Mackenna,$ 270.000,"UF 9,14",1,1,,30 m²,30 m²,,16-06-2021,2020 1ºSem,56,-33.4667,-70.6271
51,Código: 32709,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,San Eugenio,$ 430.000,"UF 14,56",2,1,,48 m²,56 m²,,26-06-2021,2020 1ºSem,58,-33.4642,-70.6248
52,,,,,,,:dormitoriosText:,1,30 m²,,30 m²,17.672.800,18-05-2021,,,-33.4654019,-70.6293474
53,Código: 32656,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,San Diego,$ 360.000,"UF 12,19",2,1,,40 m²,40 m²,,16-06-2021,2020 1ºSem,35,-33.4653,-70.6489
54,Código: TT-1759474,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Metro Matta: Estudio Amoblado c/balcón,$ 245.000,"UF 8,3",1,1,,27 m²,,,16-06-2021,2020 1ºSem,35,-33.46248213,-70.64593554
55,Código: 32543,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,San Diego,$ 350.000,"UF 11,85",2,1,,40 m²,40 m²,,16-06-2021,2020 1ºSem,35,-33.4605,-70.6491
56,Código: TT-1704083,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,ARRIENDA DUEÑO EXCELENTE VISTA,$ 320.000,"UF 10,84",1,1,,"36,1 m²",,,27-03-2021,2020 1ºSem,35,-33.4613743,-70.646201
57,Código: TT-1329958,Departamento,Departamento en Arriendo La Florida - Metropolitana Ver ubicación,"Rojas Magallanes, La Florida. (Frente al metro)",$ 300.000,"UF 10,16",1,1,,40 m²,,,30-05-2021,2020 1ºSem,32,-33.53616909,-70.59206849
58,Código: TT-1747858,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"SANTA ELENA 1298 DP 910, Santiago",$ 300.000,"UF 10,16",1,1,,"33,9 m²",,27.110.924,30-05-2021,2020 1ºSem,56,-33.45873,-70.630111
59,,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Vicuña Mackenna,$ 480.000,"UF 16,25",1,1,,40 m²,50 m²,,16-06-2021,2020 1ºSem,59,-33.4514,-70.6308
60,Código: TT-1765591,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"CARMEN 1153 EDIF. 1 DP 2306 DP 2306, Santiago",$ 300.000,"UF 10,16",1,1,,40 m²,,20.712.633,26-06-2021,2020 1ºSem,35,-33.4581102,-70.63980567
61,Código: 30319,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Fray Camilo Henríquez,$ 360.000,"UF 12,19",2,2,,48 m²,50 m²,,16-06-2021,2020 1ºSem,49,-33.4511,-70.6333
62,Código: TT-1743492,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,"MUJICA 55 DP 1411 DP 1411, Ñuñoa",$ 430.000,"UF 14,56",2,2,,60 m²,,50.073.801,24-05-2021,2020 1ºSem,59,-33.451111,-70.630061
63,Código: 28493,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Mujica,$ 525.000,"UF 17,78",2,2,,51 m²,54 m²,,16-06-2021,2020 1ºSem,59,-33.451,-70.6302
64,Código: 12289,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Avenida Portugal,$ 270.000,"UF 9,14",1,1,,32 m²,32 m²,,16-06-2021,2020 1ºSem,49,-33.4528,-70.6339
65,Código: 33186,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Fray Camilo Henríquez,$ 275.000,"UF 9,31",1,1,,31 m²,32 m²,,16-06-2021,2020 1ºSem,49,-33.4511,-70.6333
66,Código: 33186,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Fray Camilo Henríquez,$ 275.000,"UF 9,31",1,1,,31 m²,32 m²,,16-06-2021,2020 1ºSem,49,-33.4511,-70.6333
67,Código: 33186,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Fray Camilo Henríquez,$ 275.000,"UF 9,31",1,1,,31 m²,32 m²,,16-06-2021,2020 1ºSem,49,-33.4511,-70.6333
68,Código: 33186,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Fray Camilo Henríquez,$ 275.000,"UF 9,31",1,1,,31 m²,32 m²,,16-06-2021,2020 1ºSem,49,-33.4511,-70.6333
69,Código: 33077,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Sara del Campo,UF 14,$ 413.412,2,2,,47 m²,52 m²,,16-06-2021,,,-33.4445,-70.6441
70,Código: 35119,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Agustinas,$ 360.000,"UF 12,19",1,1,,46 m²,50 m²,,26-06-2021,2020 1ºSem,48,-33.4402,-70.6464
71,Código: Add1086256,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 2D2B, Santa Rosa 237, Santiago",$ 375.000,"UF 12,7",2,2,44 m²,,44 m²,37.535.812,16-06-2021,2020 1ºSem,55,-33.4471945,-70.6457893
72,Código: Add1013287,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 2D2B, Sara del Campo 535, Santiago",$ 379.000,"UF 12,83",2,2,45 m²,,45 m²,,18-05-2021,2020 1ºSem,50,-33.4444887,-70.6440489
73,Código: Add1086254,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 2D2B, Santa Rosa 237, Santiago",$ 375.000,"UF 12,7",2,2,44 m²,,44 m²,37.535.812,16-06-2021,2020 1ºSem,55,-33.4471945,-70.6457893
74,Código: :codigo:,,:direccion: Ver ubicación,:titulo:,:precioUF:,:precioDespliegue:,:dormitoriosText:,:,:superficieTerreno: m²,:metrosUtiles: m²,:metrosConstruidos: m²,:avaluoFiscalTotalPesos:,:fechaPublicacionDespliegue:,2020 1ºSem,50,-33.4445,-70.6403
75,Código: TT-1751316,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Eleuterio Ramírez 1024, Santiago",$ 260.000,"UF 8,8",1,1,,42 m²,,,04-06-2021,2020 1ºSem,55,-33.44931124,-70.64995703
76,Código: 33101,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Rosa,"UF 13,43",$ 396.580,2,2,,43 m²,45 m²,,16-06-2021,2020 1ºSem,55,-33.4472,-70.6458
77,Código: 33078,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Sara del Campo,UF 13,$ 383.883,2,2,,41 m²,46 m²,,16-06-2021,2020 1ºSem,50,-33.4445,-70.6441
78,Código: 30432,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Carmen,$ 280.000,"UF 9,48",1,1,,34 m²,35 m²,,16-06-2021,2020 1ºSem,50,-33.4449,-70.6427
79,Código: 31851,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Tarapacá,$ 252.000,"UF 8,53",1,1,,35 m²,37 m²,,16-06-2021,2020 1ºSem,55,-33.4471,-70.6488
80,Código: 16552,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Carmen,$ 320.000,"UF 10,84",1,1,,30 m²,32 m²,,16-06-2021,2020 1ºSem,50,-33.4449,-70.6428
81,Código: 32549,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Carmen,"UF 14,7",$ 434.083,2,2,,52 m²,57 m²,,16-06-2021,2020 1ºSem,55,-33.4482,-70.6417
82,Código: 32837,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Lira,$ 300.000,"UF 10,16",1,1,,35 m²,36 m²,,16-06-2021,2020 1ºSem,50,-33.4458,-70.6403
83,,,,,,,,,,,,,,,,,
84,Código: Add1086240,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 2D2B, Santa Rosa 237, Santiago",$ 358.000,"UF 12,12",2,2,44 m²,,44 m²,37.535.812,16-06-2021,2020 1ºSem,55,-33.4471945,-70.6457893
85,Código: 33154,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Rosa,"UF 12,62",$ 372.662,2,2,,42 m²,44 m²,,16-06-2021,2020 1ºSem,55,-33.4472,-70.6458
86,Código: 33080,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Sara del Campo,"UF 13,6",$ 401.600,2,2,,47 m²,50 m²,,16-06-2021,2020 1ºSem,50,-33.4445,-70.6441
87,,,,,,,,,,,,,,,,,
88,Código: Add1049701,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Sara del Campo 535, Santiago",$ 285.000,"UF 9,65",1,1,,,34 m²,,18-05-2021,2020 1ºSem,50,-33.4444887,-70.6440489
89,Código: 26358,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Lira,$ 520.000,"UF 17,61",2,2,,77 m²,82 m²,,16-06-2021,2020 1ºSem,55,-33.4465,-70.6401
90,Código: :codigo:,,:direccion: Ver ubicación,:titulo:,:precioUF:,"UF 13,27",2,2,,,50 m²,,18-05-2021,2020 1ºSem,50,-33.4444887,-70.6440489
91,Código: 35500,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Rosa,$ 290.000,"UF 9,82",1,1,,28 m²,28 m²,,27-06-2021,2020 1ºSem,50,-33.4459,-70.6452
92,Código: Add1049678,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 2D2B, Santa Rosa 237, Santiago",$ 375.000,"UF 12,7",2,2,49 m²,,49 m²,39.489.762,18-05-2021,2020 1ºSem,55,-33.4471945,-70.6457893
93,Código: 32565,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Rosa,"UF 12,62",$ 372.662,2,2,,42 m²,44 m²,,16-06-2021,2020 1ºSem,55,-33.4472,-70.6458
94,,,,,,,,,,,,,,,,-33.4445,-70.6441
